学校,专业,最低分,平均分,最高分,招生年份,科类,批次,最低位次,省控线,专业类别
电子科技大学,集成电路设计与集成系统,646,649,660,2022,理科,本科一批,3598,515,电子信息类
电子科技大学,生物医学工程类,646,649,664,2022,理科,本科一批,3598,515,生物医学工程类
电子科技大学,软件工程,645,648,655,2022,理科,本科一批,3777,515,计算机类
电子科技大学,软件工程,635,640,651,2022,理科,本科一批,5777,515,计算机类
电子科技大学,软件工程,633,637,645,2022,理科,本科一批,6263,515,计算机类
电子科技大学,临床医学,633,636,642,2022,理科,本科一批,6263,515,临床医学类
电子科技大学,电子信息类,622,628,643,2022,理科,本科一批,9386,515,电子信息类
电子科技大学,电子信息类,618,622,642,2022,理科,本科一批,10811,515,电子信息类
电子科技大学,电子信息类,609,613,621,2022,理科,本科一批,14290,515,电子信息类
电子科技大学,计算机科学与技术,680,683,687,2023,理科,本科一批,626,520,计算机类
电子科技大学,电子信息类,676,678,683,2023,理科,本科一批,866,520,电子信息类
电子科技大学,计算机科学与技术,668,671,674,2023,理科,本科一批,1610,520,计算机类
电子科技大学,数据科学与大数据技术,667,667,668,2023,理科,本科一批,1729,520,计算机类
电子科技大学,计算机类,667,669,674,2023,理科,本科一批,1729,520,计算机类
电子科技大学,电子信息类,665,666,671,2023,理科,本科一批,1978,520,电子信息类
电子科技大学,物联网工程,664,666,667,2023,理科,本科一批,2105,520,计算机类
电子科技大学,电子信息类,662,662,662,2023,理科,本科一批,2381,520,电子信息类
电子科技大学,电子信息类,662,663,666,2023,理科,本科一批,2381,520,电子信息类
电子科技大学,微电子科学与工程,662,663,668,2023,理科,本科一批,2381,520,电子信息类
电子科技大学,航空航天工程,660,661,662,2023,理科,本科一批,2649,520,航空航天类
电子科技大学,智能电网信息工程,660,661,662,2023,理科,本科一批,2649,520,电气类
电子科技大学,数学类,659,661,663,2023,理科,本科一批,2810,520,数学类
电子科技大学,航空航天类,659,660,661,2023,理科,本科一批,2810,520,航空航天类
电子科技大学,信息管理与信息系统,658,659,659,2023,理科,本科一批,2983,520,管理科学与工程类
电子科技大学,新能源材料与器件,657,658,661,2023,理科,本科一批,3162,520,材料类
电子科技大学,集成电路设计与集成系统,656,658,667,2023,理科,本科一批,3351,520,电子信息类
电子科技大学,生物医学工程类,656,657,657,2023,理科,本科一批,3351,520,生物医学工程类
电子科技大学,金融学,656,659,662,2023,理科,本科一批,3351,520,金融学类
电子科技大学,软件工程,655,657,662,2023,理科,本科一批,3522,520,计算机类
电子科技大学,软件工程,648,649,655,2023,理科,本科一批,4894,520,计算机类
电子科技大学,软件工程,648,651,657,2023,理科,本科一批,4894,520,计算机类
电子科技大学,临床医学,642,646,652,2023,理科,本科一批,6345,520,临床医学类
电子科技大学,电子信息类,631,637,654,2023,理科,本科一批,9518,520,电子信息类
电子科技大学,电子信息类,626,631,648,2023,理科,本科一批,11181,520,电子信息类
电子科技大学,电子信息类,616,620,627,2023,理科,本科一批,14955,520,电子信息类
成都中医药大学,中医学,610,617,639,2020,理科,本科一批,20631,529,中医学类
成都中医药大学,中西医临床医学,593,600,617,2020,理科,本科一批,30497,529,中西医结合类
成都中医药大学,临床医学,585,592,615,2020,理科,本科一批,35459,529,临床医学类
成都中医药大学,中医学,583,592,610,2020,理科,本科一批,36862,529,中医学类
成都中医药大学,中医儿科学,579,581,585,2020,理科,本科一批,39692,529,中医学类
成都中医药大学,针灸推拿学,575,580,608,2020,理科,本科一批,42539,529,中医学类
成都中医药大学,中医骨伤科学,573,577,590,2020,理科,本科一批,43984,529,中医学类
成都中医药大学,眼视光学,573,578,612,2020,理科,本科一批,43984,529,医学技术类
成都中医药大学,制药工程,569,575,585,2020,理科,本科一批,46924,529,化工与制药类
成都中医药大学,中医养生学,569,572,578,2020,理科,本科一批,46924,529,中医学类
成都中医药大学,预防医学,568,574,594,2020,理科,本科一批,47688,529,公共卫生与预防医学类
成都中医药大学,康复治疗学,568,573,585,2020,理科,本科一批,47688,529,医学技术类
成都中医药大学,中医康复学,568,573,585,2020,理科,本科一批,47688,529,中医学类
成都中医药大学,中药学,568,574,609,2020,理科,本科一批,47688,529,中药学类
成都中医药大学,食品质量与安全,566,566,569,2020,理科,本科一批,49254,529,食品科学与工程类
成都中医药大学,医学检验技术,566,571,587,2020,理科,本科一批,49254,529,医学技术类
成都中医药大学,应用心理学,565,569,579,2020,理科,本科一批,50020,529,心理学类
成都中医药大学,健康服务与管理,565,565,574,2020,理科,本科一批,50020,529,公共管理类
成都中医药大学,中药资源与开发,565,566,582,2020,理科,本科一批,50020,529,中药学类
成都中医药大学,药物制剂,565,569,581,2020,理科,本科一批,50020,529,药学类
成都中医药大学,卫生检验与检疫,564,564,568,2020,理科,本科一批,50820,529,医学技术类
成都中医药大学,药学,564,568,590,2020,理科,本科一批,50820,529,药学类
成都中医药大学,生物科学,563,566,578,2020,理科,本科一批,51609,529,生物科学类
成都中医药大学,食品卫生与营养学,562,565,606,2020,理科,本科一批,52386,529,公共卫生与预防医学类
成都中医药大学,英语,561,564,593,2020,理科,本科一批,53178,529,外国语言文学类
成都中医药大学,市场营销,561,561,562,2020,理科,本科一批,53178,529,工商管理类
成都中医药大学,生物技术,560,561,572,2020,理科,本科一批,53918,529,生物科学类
成都中医药大学,汉语国际教育,559,559,566,2020,理科,本科一批,54750,529,中国语言文学类
成都中医药大学,藏药学,559,559,588,2020,理科,本科一批,54750,529,中药学类
成都中医药大学,运动康复,559,560,567,2020,理科,本科一批,54750,529,体育学类
成都中医药大学,公共事业管理,556,564,587,2020,理科,本科一批,57227,529,公共管理类
成都中医药大学,医学信息工程,555,560,571,2020,理科,本科一批,58048,529,电子信息类
成都中医药大学,护理学,555,558,579,2020,理科,本科一批,58048,529,护理学类
成都中医药大学,中医学,621,632,665,2021,理科,本科一批,11140,521,中医学类
成都中医药大学,中医学,601,609,619,2021,理科,本科一批,20111,521,中医学类
成都中医药大学,中西医临床医学,583,588,609,2021,理科,本科一批,30469,521,中西医结合类
成都中医药大学,中药学,581,592,610,2021,理科,本科一批,31858,521,中药学类
成都中医药大学,临床医学,578,585,625,2021,理科,本科一批,33876,521,临床医学类
成都中医药大学,中医学,573,582,604,2021,理科,本科一批,37357,521,中医学类
成都中医药大学,中医儿科学,571,574,590,2021,理科,本科一批,38829,521,中医学类
成都中医药大学,中医骨伤科学,566,571,597,2021,理科,本科一批,42545,521,中医学类
成都中医药大学,眼视光学,564,570,592,2021,理科,本科一批,44135,521,医学技术类
成都中医药大学,针灸推拿学,564,571,597,2021,理科,本科一批,44135,521,中医学类
